after,before
BrachialPlex_L,^plexus(\s|_)?b(rac)?(\s|_)?\(l\)$
BrachialPlex_L,^pl(\s|_)?brachial(\s|_)?gche$
BrachialPlex_L,^plexus(\s|_)?br(ac)?(\s|_)?g$
BrachialPlex_L,^plexus(\s|_)?g$
BrachialPlex_R,^plexus(\s|_)?b(rac)(\s|_)?\(r\)$
BrachialPlex_R,^pl(\s|_)?brachial(\s|_)?drt$
BrachialPlex_R,^plexus(\s|_)?br(ac)?(\s|_)?d$
BrachialPlex_R,^plexus(\s|_)?d$
Brain,^brain$
Brain,^cerveau$
Brainstem,^brain(\s|_)?stem$
Brainstem,^tronc(\s|_)?(cerebral)?$
Cochlea_L,^lt(\s|_)?cochlea$
Cochlea_L,^cochlee(\s|_)?g$
Cochlea_R,^rt(\s|_)?cochlea$
Cochlea_R,^cochlee(\s|_)?d$
Lens_L,^lt(\s|_)?lens$
Lens_L,^lens(\s|_)?\(l\)$
Lens_R,^rt(\s|_)?lens$
Lens_R,^lens(\s|_)?\(r\)$
Bone_Mandible,^mandible$
Bone_Mandible,^mandibule(s)?$
OpticNrv_L,^opticnerv(e)?(\s|_)?\(l\)$
OpticNrv_L,^lt(\s|_)?optic(\s|_)?nerve$
OpticNrv_L,^nerf(\s|_)?opt(ique)?(\s|_)?(g|gch|gche)?$
OpticNrv_R,^opticnerv(e)?(\s|_)?\(r\)$
OpticNrv_R,^rt(\s|_)?optic(\s|_)?nerve$
OpticNrv_R,^nerf(\s|_)?opt(ique)?(\s|_)?(d|drt)?$
Cavity_Oral,^oral(\s|_)?cavity$
Cavity_Oral,^cavite(\s|_)?orale$
Parotid_L,^parotid(\s|_)?\(l\)$
Parotid_L,^(l|lt)(\s|_)?parotid$
Parotid_L,^parotid(\s|_)?lt$
Parotid_L,^parotide(\s|_)?g$
Parotid_L,^parotide(\s|_)?(gche|gauche)$
Parotid_R,^parotid(\s|_)?\(r\)$
Parotid_R,^(r|rt)(\s|_)?parotid$
Parotid_R,^parotid(\s|_)?rt$
Parotid_R,^parotide(\s|_)?d$
Parotid_R,^parotide(\s|_)?(drte|droite)$
SpinalCord,^spinal(\s|_)?cord$
SpinalCord,^moelle$
Glnd_Submand_L,^submandib(\s|_)?\(l\)$
Glnd_Submand_L,^l(\s|_)?submand$
Glnd_Submand_L,^sub-max\(l\)$
Glnd_Submand_L,^sous-max(\s|_)?(g|gche)$
Glnd_Submand_L,^sous-mand(id|_)g$
Glnd_Submand_R,^submandib(\s|_)?\(r\)$
Glnd_Submand_R,^rt(\s|_)?submandibular$
Glnd_Submand_R,^sub-max\(r\)$
Glnd_Submand_R,^submandibular(\s|_)?rt$
Glnd_Submand_R,^sous-max(\s|_)?(d|drt)$
Glnd_Submand_R,^sous-mand(id|_)d$
