internal,dataset
BrachialPlex_L,^lbrachialplexus$
BrachialPlex_R,^rbrachialplexus$
Brain,^brain$
Brainstem,^b(r)?stem$
Brainstem,^brain(\s|_)?stem$
Lens_L,^(l|lt)(\s|_)?lens$
Lens_R,^(r|rt)(\s|_)?lens$
Bone_Mandible,^mandible$
OpticNrv_L,^loptic$
OpticNrv_L,^(l|lt)(\s|_)?optic(\s|_)?nerve$
OpticNrv_L,^optic(\s|_)?nerve(\s|_)?l$
OpticNrv_R,^roptic$
OpticNrv_R,^(r|lt)(\s|_)?optic(\s|_)?nerve$
OpticNrv_R,^optic(\s|_)?nerve(\s|_)?r$
Parotid_L,^(l|lt)(\s|_)?parotid$
Parotid_R,^(r|rt)(\s|_)?parotid$
SpinalCord,^cord$
SpinalCord,^spinal(\s|_)?cord$
Glnd_Submand_L,^(l|lt)(\s|_)?submandibular
Glnd_Submand_R,^(r|rt)(\s|_)?submandibular
