dataset,internal
^pl(\s|_)?brachial(\s|_)?gche$,BrachialPlexus_L
^pl(\s|_)?brachial(\s|_)?drt$,BrachialPlexus_R
^brain$,Brain
^cerveau$,Brain
^brain(\s|_)?stem$,BrainStem
^tronc(\s|_)?cerebral$,BrainStem
^lt(\s|_)?cochlea$,Cochlea_L
^cochlee(\s|_)?g$,Cochlea_L
^rt(\s|_)?cochlea$,Cochlea_R
^cochlee(\s|_)?d$,Cochlea_R
^lt(\s|_)?lens$,Lens_L
^lens(\s|_)?\(l\)$,Lens_L
^rt(\s|_)?lens$,Lens_R
^lens(\s|_)?\(r\)$,Lens_R
^mandible$,Mandible
^mandibule$,Mandible
^optic(\s|_)?chiasm,OpticChiasm
^opticnerv(e)?(\s|_)?\(l\)$,OpticNerve_L
^lt(\s|_)?optic(\s|_)?nerve$,OpticNerve_L
^nerf(\s|_)?opt(ique)?(\s|_)?(g|gch|gche)?$,OpticNerve_L
^opticnerv(e)?(\s|_)?\(r\)$,OpticNerve_R
^rt(\s|_)?optic(\s|_)?nerve$,OpticNerve_R
^nerf(\s|_)?opt(ique)?(\s|_)?(d|drt)?$,OpticNerve_R
^oral(\s|_)?cavity$,OralCavity
^cavite(\s|_)?orale$,OralCavity
^parotid(\s|_)?\(l\)$,Parotid_L
^(l|lt)(\s|_)?parotid$,Parotid_L
^parotid(\s|_)?lt$,Parotid_L
^parotide(\s|_)?g$,Parotid_L
^parotide(\s|_)?(gche|gauche)$,Parotid_L
^parotid(\s|_)?\(r\)$,Parotid_R
^(r|rt)(\s|_)?parotid$,Parotid_R
^parotid(\s|_)?rt$,Parotid_R
^parotide(\s|_)?d$,Parotid_R
^parotide(\s|_)?(drte|droite)$,Parotid_R
^spinal(\s|_)?cord$,SpinalCord
^moelle$,SpinalCord
^submandib(\s|_)?\(l\)$,Submandibular_L
^l(\s|_)?submand$,Submandibular_L
^sous-max(\s|_)?(g|gche)$,Submandibular_L
^submandib(\s|_)?\(r\)$,Submandibular_R
^rt(\s|_)?submandibular$,Submandibular_R
^submandibular(\s|_)?rt$,Submandibular_R
^sous-max(\s|_)?(d|drt)$,Submandibular_R

